SOA,Trial,Pic1,Pic2,Correct,Correct_response,Response,RT
2000,NS,F10,N10,right,1,'right',0.565063834
2000,NS,N12,F12,left,1,'left',0.684554696
2000,NS,F13,N13,right,1,'right',0.702009846
2000,NS,F14,N14,right,1,'right',0.497043967
2000,NS,N16,F16,left,1,'left',0.498418868
2000,NS,F18,N18,right,1,'right',0.548450076
2000,NS,F20,N20,right,1,'right',0.497376233
200,SN,N1,F1,right,1,'right',0.809186578
200,SN,F4,N4,left,1,'left',0.498423696
200,SN,F6,N6,left,1,'left',0.531521678
200,SN,N6,F6,right,1,'right',0.497359574
200,SN,N7,F7,right,1,'right',0.422615647
200,SN,N8,F8,right,1,'right',0.489133269
200,SN,N9,F9,right,1,'right',0.548247516
200,SN,F10,N10,left,1,'left',0.548440933
200,SN,N200,F200,right,1,'right',0.68455001
200,SN,F13,N13,left,1,'left',0.53167659
200,SN,F14,N14,left,1,'left',0.514307022
200,SN,N14,F14,right,1,'right',0.886256993
200,SN,N15,F15,right,1,'right',0.515052001
200,SN,F16,N16,left,1,'left',0.640453696
200,SN,N20,F20,right,1,'right',0.481554151
200,SN,N3,F3,right,1,'right',0.563786447
200,SN,F3,N3,left,1,'left',0.436880976
200,SN,N10,F10,right,1,'right',0.56620061
200,SN,F200,N200,left,1,'left',0.456025007
200,SN,N13,F13,right,1,'right',0.657681763
200,SN,F15,N15,left,1,'left',0.498447746
200,SN,N17,F17,right,1,'right',0.466155738
200,SN,F18,N18,left,1,'left',0.557430208
200,SN,F19,N19,left,1,'left',0.454804391
200,SN,N5,F5,right,1,'right',0.498417586
200,SN,F12,N12,left,1,'left',0.549031377
200,SN,F17,N17,left,1,'left',0.514845848
200,SN,N18,F18,right,1,'right',0.548416555
200,SN,N19,F19,right,1,'right',0.547805905
200,SN,F1,N1,left,1,'left',0.549467504
200,SN,N2,F2,right,1,'right',0.56488105
200,SN,N4,F4,right,1,'right',0.481541336
200,SN,F5,N5,left,1,'left',0.454943269
200,SN,F9,N9,left,1,'left',0.515066504
200,SN,N16,F16,right,1,'right',0.482812941
200,SN,F20,N20,left,1,'left',0.716804028
200,SN,F2,N2,left,1,'left',0.465959758
200,SN,F7,N7,left,1,'left',0.404634506
200,SN,F8,N8,left,1,'left',0.49843362
200,SN,N12,F12,right,1,'right',0.48755955
500,SN,F1,N1,left,1,'left',0.590925217
500,SN,N2,F2,right,1,'right',0.480755895
500,SN,F4,N4,left,1,'left',0.514003634
500,SN,F5,N5,left,1,'left',0.497500008
500,SN,N5,F5,right,1,'right',0.516134441
500,SN,F6,N6,left,1,'left',0.49946762
500,SN,F8,N8,left,1,'left',0.531751501
500,SN,F9,N9,left,1,'left',0.593080759
500,SN,N10,F10,right,1,'right',0.607600749
500,SN,N200,F200,right,1,'right',0.548419201
500,SN,F14,N14,left,1,'left',0.777078986
500,SN,N15,F15,right,1,'right',0.783423662
500,SN,F18,N18,left,1,'left',0.498420051
500,SN,F2,N2,left,1,'left',0.760397673
500,SN,N3,F3,right,1,'right',0.437767744
500,SN,N8,F8,right,1,'right',0.438151002
500,SN,F10,N10,left,1,'left',0.49737078
500,SN,N12,F12,right,1,'right',0.608682513
500,SN,N13,F13,right,1,'right',0.624248028
500,SN,N4,F4,right,1,'right',0.53174907
500,SN,F7,N7,left,1,'left',0.51508125
500,SN,F200,N200,left,1,'left',0.481754601
500,SN,F16,N16,left,1,'left',0.516155303
500,SN,F17,N17,left,1,'left',0.504802346
500,SN,N18,F18,right,1,'right',0.735715866
500,SN,N19,F19,right,1,'right',0.531523287
500,SN,F20,N20,left,1,'left',0.996550031
500,SN,N20,F20,right,1,'right',0.734550095
500,SN,N6,F6,right,1,'right',1.028793335
500,SN,F12,N12,left,1,'left',0.480645895
500,SN,N14,F14,right,1,'right',0.641999841
500,SN,N16,F16,right,1,'right',0.651218414
500,SN,F19,N19,left,1,'left',0.591010869
500,SN,N1,F1,right,1,'right',0.549479723
500,SN,F3,N3,left,1,'left',0.563379765
500,SN,N7,F7,right,1,'right',0.465090632
500,SN,N9,F9,right,1,'right',0.454775512
500,SN,F13,N13,left,1,'left',0.893722892
500,SN,F15,N15,left,1,'left',0.405874372
500,SN,N17,F17,right,1,'right',0.488180429
2000,SN,F4,N4,left,1,'left',0.667836845
2000,SN,F5,N5,left,1,'left',0.733481467
2000,SN,F6,N6,left,1,'left',0.607621253
2000,SN,F9,N9,left,1,'left',0.580685139
2000,SN,N9,F9,right,1,'right',0.717884243
2000,SN,N10,F10,right,0,'right',0.751215041
2000,SN,F200,N200,left,1,'left',0.53280741
2000,SN,F13,N13,left,1,'left',0.574280202
2000,SN,N13,F13,right,1,'right',0.515108168
2000,SN,F16,N16,left,1,'left',0.76036787
2000,SN,N18,F18,right,1,'right',0.657580733
2000,SN,N20,F20,right,1,'right',0.609755002
2000,SN,N14,F14,right,1,'right',0.526426136
2000,SN,F2,N2,left,1,'left',0.751209259
2000,SN,N2,F2,right,0,'right',0.48184377
2000,SN,F3,N3,left,1,'left',0.515079618
2000,SN,N3,F3,right,1,'right',0.498432666
2000,SN,F8,N8,left,1,'left',0.557649553
2000,SN,F10,N10,left,1,'left',0.498216838
2000,SN,F12,N12,left,1,'left',0.498421758
2000,SN,F15,N15,left,1,'left',0.685587406
2000,SN,N15,F15,right,1,'right',0.624284267
2000,SN,F17,N17,left,1,'left',0.609687269
2000,SN,F19,N19,left,1,'left',0.766813501
2000,SN,N1,F1,right,1,'right',0.549454689
2000,SN,N4,F4,right,1,'right',0.607667089
2000,SN,N7,F7,right,1,'right',0.609743201
2000,SN,N200,F200,right,1,'right',0.498420477
2000,SN,N16,F16,right,1,'right',0.547336042
2000,SN,N17,F17,right,1,'right',0.530148685
2000,SN,F18,N18,left,1,'left',0.675405025
2000,SN,F20,N20,left,1,'left',0.624043047
2000,SN,F1,N1,left,1,'left',0.64097482
2000,SN,N6,F6,right,1,'right',0.574500859
2000,SN,F7,N7,left,1,'left',0.690938175
2000,SN,N12,F12,right,1,'right',0.62541604
2000,SN,F14,N14,left,1,'left',0.624248028
2000,SN,N5,F5,right,0,'right',0.574317694
2000,SN,N8,F8,right,1,'right',0.640872836
2000,SN,N19,F19,right,1,'right',0.530696809
